,dodge,ford,cadillac,nissan,ram,toyota,hyundai,volkswagen,mercury,bmw,acura,jeep,infiniti,kia,lexus,chevrolet,subaru,honda,chrysler,mini,mercedes-benz,buick,jaguar,smart,gmc,pontiac,lincoln,mazda,audi,saturn,land rover,porsche,scion,volvo,mitsubishi,tesla,bentley,ferrari,hummer,fiat,suzuki,oldsmobile,isuzu,maserati,saab,rolls-royce,fisker,aston martin,geo,plymouth,lamborghini,daewoo,dodge1,ford1,cadillac1,nissan1,ram1,toyota1,hyundai1,volkswagen1,mercury1,bmw1,acura1,jeep1,infiniti1,kia1,lexus1,chevrolet1,subaru1,honda1,chrysler1,mini1,mercedes-benz1,buick1,jaguar1,smart1,gmc1,pontiac1,lincoln1,mazda1,audi1,saturn1,land rover1,porsche1,scion1,volvo1,mitsubishi1,tesla1,bentley1,ferrari1,hummer1,fiat1,suzuki1,oldsmobile1,isuzu1,maserati1,saab1,rolls-royce1,fisker1,aston martin1,geo1,plymouth1,lamborghini1,daewoo1
0,sedan,sedan,sedan,sedan,cab,sedan,sedan,sedan,sedan,sedan,sedan,suv,sedan,sedan,sedan,sedan,sedan,sedan,sedan,hatchback,sedan,sedan,sedan,hatchback,suv,sedan,sedan,sedan,sedan,sedan,suv,suv,hatchback,sedan,sedan,sedan,coupe,convertible,suv,hatchback,suv,sedan,suv,sedan,sedan,sedan,sedan,coupe,sedan,sedan,convertible,sedan,4904.0,13249.0,1841.0,14168.0,2088.0,10451.0,7443.0,3753.0,515.0,5294.0,1421.0,6756.0,5061.0,4180.0,3318.0,12256.0,784.0,6821.0,4224.0,1168.0,4430.0,1618.0,571.0,155.0,3167.0,1409.0,1549.0,1804.0,1584.0,616.0,716.0,240.0,515.0,831.0,768.0,14.0,26.0,10.0,361.0,226.0,175.0,118.0,91.0,40.0,139.0,9.0,5.0,8.0,4.0,3.0,1.0,1.0
1,van,suv,suv,suv,van,suv,suv,hatchback,suv,suv,suv,,coupe,suv,suv,suv,wagon,suv,van,wagon,suv,suv,convertible,convertible,cab,coupe,suv,suv,suv,suv,,convertible,wagon,suv,suv,,convertible,,cab,wagon,sedan,suv,cab,coupe,convertible,,,convertible,,convertible,,,3841.0,13114.0,1314.0,5334.0,59.0,3581.0,1387.0,865.0,303.0,1875.0,788.0,,1096.0,2140.0,1821.0,7117.0,764.0,2543.0,2639.0,233.0,1623.0,681.0,65.0,20.0,1476.0,261.0,940.0,848.0,421.0,536.0,,136.0,231.0,487.0,610.0,,19.0,,37.0,122.0,175.0,21.0,5.0,15.0,38.0,,,3.0,,2.0,,
2,suv,cab,coupe,hatchback,,hatchback,hatchback,suv,van,convertible,hatchback,,suv,wagon,hatchback,cab,suv,van,wagon,convertible,convertible,van,coupe,,van,convertible,wagon,hatchback,coupe,coupe,,sedan,coupe,wagon,hatchback,,sedan,,,convertible,hatchback,van,,others,suv,,,sedan,,,,,2643.0,8987.0,110.0,1728.0,,1448.0,760.0,405.0,30.0,1081.0,98.0,,1070.0,1440.0,203.0,5061.0,549.0,1579.0,649.0,138.0,568.0,31.0,33.0,,291.0,144.0,84.0,503.0,215.0,81.0,,117.0,83.0,222.0,274.0,,19.0,,,25.0,50.0,19.0,,2.0,30.0,,,2.0,,,,
3,cab,hatchback,cab,cab,,van,coupe,convertible,hatchback,coupe,coupe,,others,van,convertible,coupe,hatchback,coupe,convertible,,coupe,coupe,wagon,,,suv,cab,van,convertible,van,,coupe,,convertible,convertible,,,,,,wagon,coupe,,convertible,wagon,,,,,,,,1591.0,2205.0,67.0,941.0,,1330.0,185.0,241.0,16.0,923.0,45.0,,195.0,429.0,127.0,1369.0,168.0,1483.0,353.0,,533.0,3.0,1.0,,,126.0,30.0,337.0,192.0,35.0,,116.0,,67.0,62.0,,,,,,13.0,7.0,,2.0,13.0,,,,,,,
4,wagon,van,convertible,coupe,,cab,van,wagon,wagon,hatchback,wagon,,convertible,hatchback,coupe,hatchback,coupe,hatchback,suv,,wagon,,,,,hatchback,coupe,convertible,wagon,hatchback,,,,hatchback,cab,,,,,,cab,,,,hatchback,,,,,,,,863.0,1874.0,11.0,677.0,,1186.0,31.0,226.0,5.0,134.0,16.0,,5.0,125.0,21.0,1005.0,26.0,609.0,99.0,,198.0,,,,,73.0,6.0,109.0,176.0,28.0,,,,16.0,8.0,,,,,,2.0,,,,7.0,,,,,,,
5,coupe,coupe,wagon,van,,wagon,wagon,van,coupe,wagon,,,,others,wagon,van,cab,cab,coupe,,van,,,,,wagon,,wagon,hatchback,convertible,,,,coupe,coupe,,,,,,,,,,,,,,,,,,574.0,1514.0,3.0,387.0,,356.0,2.0,102.0,1.0,77.0,,,,74.0,3.0,961.0,19.0,101.0,25.0,,36.0,,,,,66.0,,31.0,11.0,24.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,
6,convertible,wagon,,wagon,,coupe,,others,,,,,,,,wagon,,convertible,hatchback,,hatchback,,,,,van,,coupe,,wagon,,,,,,,,,,,,,,,,,,,,,,,3.0,1106.0,,117.0,,127.0,,23.0,,,,,,,,565.0,,19.0,19.0,,32.0,,,,,43.0,,9.0,,16.0,,,,,,,,,,,,,,,,,,,,,,
