,dodge,ford,cadillac,nissan,ram,toyota,hyundai,volkswagen,mercury,bmw,acura,jeep,infiniti,kia,lexus,chevrolet,subaru,honda,chrysler,mini,mercedes-benz,buick,jaguar,smart,gmc,pontiac,lincoln,mazda,audi,saturn,land rover,porsche,scion,volvo,mitsubishi,tesla,bentley,ferrari,hummer,fiat,suzuki,oldsmobile,isuzu,maserati,saab,rolls-royce,fisker,aston martin,geo,plymouth,lamborghini,daewoo
0,"{'model': 'Grand Caravan', 'number': 3678}","{'model': 'Fusion', 'number': 6443}","{'model': 'CTS', 'number': 861}","{'model': 'Altima', 'number': 8706}","{'model': '1500', 'number': 1520}","{'model': 'Camry', 'number': 5840}","{'model': 'Sonata', 'number': 3065}","{'model': 'Jetta', 'number': 2055}","{'model': 'Grand Marquis', 'number': 205}","{'model': '3 Series', 'number': 3767}","{'model': 'TL', 'number': 877}","{'model': 'Grand Cherokee', 'number': 1953}","{'model': 'G Sedan', 'number': 3681}","{'model': 'Optima', 'number': 2027}","{'model': 'RX 350', 'number': 1097}","{'model': 'Impala', 'number': 4007}","{'model': 'Outback', 'number': 642}","{'model': 'Accord', 'number': 4532}","{'model': 'Town and Country', 'number': 2632}","{'model': 'Cooper', 'number': 1053}","{'model': 'C-Class', 'number': 2346}","{'model': 'LaCrosse', 'number': 546}","{'model': 'XF', 'number': 173}","{'model': 'fortwo', 'number': 175}","{'model': 'Sierra 1500', 'number': 1102}","{'model': 'G6', 'number': 825}","{'model': 'MKZ', 'number': 796}","{'model': 'Mazda3', 'number': 1238}","{'model': 'A4', 'number': 1038}","{'model': 'VUE', 'number': 395}","{'model': 'Range Rover Sport', 'number': 308}","{'model': 'Cayenne', 'number': 236}","{'model': 'tC', 'number': 355}","{'model': 'S60', 'number': 474}","{'model': 'Lancer', 'number': 418}","{'model': 'Model S', 'number': 14}","{'model': 'Continental GT', 'number': 24}","{'model': 'California', 'number': 7}","{'model': 'H3', 'number': 206}","{'model': '500', 'number': 249}","{'model': 'Forenza', 'number': 114}","{'model': 'Alero', 'number': 54}","{'model': 'Rodeo', 'number': 42}","{'model': 'Quattroporte', 'number': 32}","{'model': '9-3', 'number': 168}","{'model': 'Ghost', 'number': 9}","{'model': 'Karma', 'number': 5}","{'model': 'V8 Vantage', 'number': 9}","{'model': 'Prizm', 'number': 4}","{'model': 'Prowler', 'number': 2}","{'model': 'Gallardo', 'number': 1}","{'model': 'Nubira', 'number': 1}"
1,"{'model': 'Charger', 'number': 2129}","{'model': 'F-150', 'number': 6335}","{'model': 'Escalade', 'number': 518}","{'model': 'Maxima', 'number': 2872}","{'model': '2500', 'number': 439}","{'model': 'Corolla', 'number': 3592}","{'model': 'Elantra', 'number': 2831}","{'model': 'Passat', 'number': 1464}","{'model': 'Milan', 'number': 157}","{'model': '5 Series', 'number': 1848}","{'model': 'MDX', 'number': 633}","{'model': 'Wrangler', 'number': 1644}","{'model': 'G Coupe', 'number': 836}","{'model': 'Sorento', 'number': 1533}","{'model': 'IS 250', 'number': 906}","{'model': 'Malibu', 'number': 3282}","{'model': 'Legacy', 'number': 504}","{'model': 'Civic', 'number': 3766}","{'model': '200', 'number': 2001}","{'model': 'Cooper Countryman', 'number': 233}","{'model': 'E-Class', 'number': 1623}","{'model': 'Enclave', 'number': 467}","{'model': 'S-Type', 'number': 127}",,"{'model': 'Acadia', 'number': 962}","{'model': 'Grand Prix', 'number': 494}","{'model': 'MKX', 'number': 516}","{'model': 'Mazda6', 'number': 716}","{'model': 'A6', 'number': 352}","{'model': 'Aura', 'number': 236}","{'model': 'Range Rover', 'number': 175}","{'model': 'Panamera', 'number': 117}","{'model': 'xB', 'number': 231}","{'model': 'XC90', 'number': 309}","{'model': 'Galant', 'number': 270}",,"{'model': 'Continental GTC', 'number': 18}","{'model': 'F430', 'number': 2}","{'model': 'H2', 'number': 154}","{'model': '500L', 'number': 122}","{'model': 'SX4', 'number': 76}","{'model': 'Aurora', 'number': 23}","{'model': 'Ascender', 'number': 25}","{'model': 'GranTurismo', 'number': 13}","{'model': '9-7X', 'number': 30}",,,"{'model': 'DB9', 'number': 2}",,"{'model': 'Neon', 'number': 2}",,
2,"{'model': 'Avenger', 'number': 1969}","{'model': 'Escape', 'number': 5691}","{'model': 'SRX', 'number': 508}","{'model': 'Sentra', 'number': 2258}","{'model': '3500', 'number': 117}","{'model': 'RAV4', 'number': 1542}","{'model': 'Accent', 'number': 856}","{'model': 'New Beetle', 'number': 371}","{'model': 'Mountaineer', 'number': 155}","{'model': 'X5', 'number': 1054}","{'model': 'TSX', 'number': 434}","{'model': 'Liberty', 'number': 1138}","{'model': 'G35', 'number': 513}","{'model': 'Soul', 'number': 1326}","{'model': 'ES 350', 'number': 881}","{'model': 'Silverado 1500', 'number': 3022}","{'model': 'Impreza', 'number': 457}","{'model': 'Odyssey', 'number': 1579}","{'model': '300', 'number': 1768}","{'model': 'Cooper Clubman', 'number': 179}","{'model': 'M-Class', 'number': 779}","{'model': 'Regal', 'number': 270}","{'model': 'XJ', 'number': 95}",,"{'model': 'Yukon', 'number': 600}","{'model': 'Grand Am', 'number': 200}","{'model': 'MKS', 'number': 429}","{'model': 'CX-9', 'number': 316}","{'model': 'Q5', 'number': 226}","{'model': 'ION', 'number': 236}","{'model': 'LR4', 'number': 62}","{'model': 'Boxster', 'number': 109}","{'model': 'xD', 'number': 83}","{'model': 'S40', 'number': 186}","{'model': 'Outlander', 'number': 233}",,"{'model': 'Continental Flying Spur', 'number': 18}","{'model': '360', 'number': 1}","{'model': 'H2 SUT', 'number': 33}","{'model': '500e', 'number': 2}","{'model': 'XL7', 'number': 72}","{'model': 'Intrigue', 'number': 22}","{'model': 'Trooper', 'number': 12}","{'model': 'Ghibli', 'number': 8}","{'model': '9-5', 'number': 28}",,,"{'model': 'Rapide', 'number': 2}",,"{'model': 'Breeze', 'number': 1}",,
3,"{'model': 'Journey', 'number': 1443}","{'model': 'Focus', 'number': 5120}","{'model': 'DeVille', 'number': 303}","{'model': 'Rogue', 'number': 2211}","{'model': 'Promaster Cargo Van', 'number': 26}","{'model': 'Sienna', 'number': 1330}","{'model': 'Santa Fe', 'number': 785}","{'model': 'CC', 'number': 300}","{'model': 'Mariner', 'number': 137}","{'model': '7 Series', 'number': 596}","{'model': 'RDX', 'number': 154}","{'model': 'Patriot', 'number': 846}","{'model': 'M', 'number': 423}","{'model': 'Forte', 'number': 1290}","{'model': 'GS 350', 'number': 368}","{'model': 'Cruze', 'number': 2840}","{'model': 'Forester', 'number': 434}","{'model': 'CR-V', 'number': 1416}","{'model': 'Sebring', 'number': 670}","{'model': 'Cooper Paceman', 'number': 46}","{'model': 'S-Class', 'number': 668}","{'model': 'Lucerne', 'number': 245}","{'model': 'X-Type', 'number': 95}",,"{'model': 'Yukon XL', 'number': 587}","{'model': 'Torrent', 'number': 124}","{'model': 'Navigator', 'number': 356}","{'model': 'Mazda5', 'number': 282}","{'model': 'Q7', 'number': 191}","{'model': 'S-Series', 'number': 143}","{'model': 'LR2', 'number': 57}","{'model': '911', 'number': 91}","{'model': 'FR-S', 'number': 83}","{'model': 'XC60', 'number': 178}","{'model': 'Outlander Sport', 'number': 194}",,"{'model': 'Continental GT Speed', 'number': 2}",,"{'model': 'H3T', 'number': 4}",,"{'model': 'Grand Vitara', 'number': 70}","{'model': 'Bravada', 'number': 21}","{'model': 'Axiom', 'number': 10}","{'model': 'Coupe', 'number': 2}","{'model': '9-2X', 'number': 1}",,,,,,,
4,"{'model': 'Ram Pickup 1500', 'number': 992}","{'model': 'Explorer', 'number': 3326}","{'model': 'Escalade ESV', 'number': 270}","{'model': 'Murano', 'number': 1308}","{'model': 'C/V Cargo Van', 'number': 17}","{'model': 'Prius', 'number': 931}","{'model': 'Genesis', 'number': 415}","{'model': 'Tiguan', 'number': 252}","{'model': 'Sable', 'number': 103}","{'model': 'X3', 'number': 527}","{'model': 'RSX', 'number': 64}","{'model': 'Compass', 'number': 599}","{'model': 'Q50', 'number': 271}","{'model': 'Rio', 'number': 678}","{'model': 'LS 460', 'number': 251}","{'model': 'Equinox', 'number': 2315}","{'model': 'XV Crosstrek', 'number': 86}","{'model': 'Pilot', 'number': 981}","{'model': 'PT Cruiser', 'number': 605}","{'model': 'Cooper Roadster', 'number': 14}","{'model': 'GL-Class', 'number': 453}","{'model': 'LeSabre', 'number': 243}","{'model': 'XJ-Series', 'number': 82}",,"{'model': 'Terrain', 'number': 527}","{'model': 'Vibe', 'number': 103}","{'model': 'Town Car', 'number': 143}","{'model': 'CX-5', 'number': 242}","{'model': 'A5', 'number': 162}","{'model': 'Outlook', 'number': 136}","{'model': 'Range Rover Evoque', 'number': 56}","{'model': 'Cayman', 'number': 39}","{'model': 'iQ', 'number': 68}","{'model': 'S80', 'number': 122}","{'model': 'Eclipse', 'number': 179}",,"{'model': 'Continental GTC Speed', 'number': 1}",,"{'model': 'H1', 'number': 1}",,"{'model': 'XL-7', 'number': 31}","{'model': 'Silhouette', 'number': 19}","{'model': 'i-Series', 'number': 5}","{'model': 'GranTurismo Convertible', 'number': 2}",,,,,,,,
5,"{'model': 'Durango', 'number': 872}","{'model': 'Edge', 'number': 2722}","{'model': 'DTS', 'number': 265}","{'model': 'Versa', 'number': 1253}","{'model': 'C/V Tradesman', 'number': 14}","{'model': 'Highlander', 'number': 849}","{'model': 'Tucson', 'number': 393}","{'model': 'Beetle', 'number': 223}","{'model': 'Montego', 'number': 45}","{'model': '6 Series', 'number': 336}","{'model': 'ILX', 'number': 50}","{'model': 'Commander', 'number': 327}","{'model': 'QX56', 'number': 210}","{'model': 'Sportage', 'number': 575}","{'model': 'RX 330', 'number': 210}","{'model': 'Tahoe', 'number': 1461}","{'model': 'Impreza WRX', 'number': 53}","{'model': 'Fit', 'number': 206}","{'model': 'Aspen', 'number': 99}","{'model': 'Cooper Coupe', 'number': 14}","{'model': 'GLK-Class', 'number': 352}","{'model': 'Verano', 'number': 172}","{'model': 'XK', 'number': 43}",,"{'model': 'Envoy', 'number': 290}","{'model': 'G5', 'number': 63}","{'model': 'LS', 'number': 100}","{'model': 'CX-7', 'number': 180}","{'model': 'A8', 'number': 131}","{'model': 'L-Series', 'number': 86}","{'model': 'Freelander', 'number': 21}","{'model': 'Cayman S', 'number': 13}","{'model': 'xA', 'number': 9}","{'model': 'V70', 'number': 78}","{'model': 'Endeavor', 'number': 83}",,"{'model': 'Continental Flying Spur Speed', 'number': 1}",,,,"{'model': 'Reno', 'number': 20}","{'model': 'Cutlass', 'number': 6}","{'model': 'Amigo', 'number': 1}","{'model': 'Spyder', 'number': 2}",,,,,,,,
6,"{'model': 'Caliber', 'number': 679}","{'model': 'Mustang', 'number': 2396}","{'model': 'STS', 'number': 128}","{'model': 'Pathfinder', 'number': 875}","{'model': 'Dakota', 'number': 12}","{'model': '4Runner', 'number': 642}","{'model': 'Veloster', 'number': 280}","{'model': 'GTI', 'number': 198}","{'model': 'Monterey', 'number': 25}","{'model': '1 Series', 'number': 188}","{'model': 'CL', 'number': 45}","{'model': 'Cherokee', 'number': 248}","{'model': 'FX', 'number': 187}","{'model': 'Sedona', 'number': 429}","{'model': 'CT 200h', 'number': 203}","{'model': 'Suburban', 'number': 1076}","{'model': 'B9 Tribeca', 'number': 45}","{'model': 'Crosstour', 'number': 159}","{'model': 'Pacifica', 'number': 91}",,"{'model': 'CLK-Class', 'number': 227}","{'model': 'Rendezvous', 'number': 129}","{'model': 'XK-Series', 'number': 36}",,"{'model': 'Savana Cargo', 'number': 286}","{'model': 'Bonneville', 'number': 57}","{'model': 'MKT', 'number': 84}","{'model': 'Mazda2', 'number': 168}","{'model': 'A3', 'number': 115}","{'model': 'Relay', 'number': 35}","{'model': 'LR3', 'number': 18}","{'model': 'Macan', 'number': 4}",,"{'model': 'C70', 'number': 69}","{'model': 'Mirage', 'number': 83}",,,,,,"{'model': 'Kizashi', 'number': 12}","{'model': 'Cutlass Supreme', 'number': 6}","{'model': 'Rodeo Sport', 'number': 1}",,,,,,,,,
